x,yPrime
-10.91,4.42189e-51
-10.9,5.49451e-51
-10.89,6.82595e-51
-10.88,8.47833e-51
-10.87,1.05286e-50
-10.86,1.3072e-50
-10.85,1.62266e-50
-10.84,2.01384e-50
-10.83,2.49883e-50
-10.82,3.09999e-50
-10.81,3.845e-50
-10.8,4.7681e-50
-10.79,5.91163e-50
-10.78,7.32794e-50
-10.77,9.08174e-50
-10.76,1.1253e-49
-10.75,1.39406e-49
-10.74,1.72667e-49
-10.73,2.13819e-49
-10.72,2.64727e-49
-10.71,3.27689e-49
-10.7,4.05545e-49
-10.69,5.01797e-49
-10.68,6.20769e-49
-10.67,7.67795e-49
-10.66,9.49452e-49
-10.65,1.17385e-48
-10.64,1.451e-48
-10.63,1.79322e-48
-10.62,2.21571e-48
-10.61,2.73718e-48
-10.6,3.38071e-48
-10.59,4.1747e-48
-10.58,5.15412e-48
-10.57,6.36206e-48
-10.56,7.8515e-48
-10.55,9.6877e-48
-10.54,1.19509e-47
-10.53,1.47399e-47
-10.52,1.81761e-47
-10.51,2.24089e-47
-10.5,2.76218e-47
-10.49,3.40406e-47
-10.48,4.19425e-47
-10.47,5.16684e-47
-10.46,6.36367e-47
-10.45,7.83616e-47
-10.44,9.64743e-47
-10.43,1.1875e-46
-10.42,1.46139e-46
-10.41,1.7981e-46
-10.4,2.21193e-46
-10.39,2.72047e-46
-10.38,3.34525e-46
-10.37,4.11269e-46
-10.36,5.05518e-46
-10.35,6.2124e-46
-10.34,7.633e-46
-10.33,9.37657e-46
-10.32,1.15161e-45
-10.31,1.4141e-45
-10.3,1.73606e-45
-10.29,2.13091e-45
-10.28,2.61503e-45
-10.27,3.2085e-45
-10.26,3.93586e-45
-10.25,4.82714e-45
-10.24,5.91906e-45
-10.23,7.25652e-45
-10.22,8.89441e-45
-10.21,1.08998e-44
-10.2,1.33546e-44
-10.19,1.63591e-44
-10.18,2.00354e-44
-10.17,2.4533e-44
-10.16,3.00341e-44
-10.15,3.67615e-44
-10.14,4.49866e-44
-10.13,5.5041e-44
-10.12,6.73289e-44
-10.11,8.23437e-44
-10.1,1.00687e-43
-10.09,1.23091e-43
-10.08,1.5045e-43
-10.07,1.83853e-43
-10.06,2.24628e-43
-10.05,2.7439e-43
-10.04,3.35108e-43
-10.03,4.09181e-43
-10.02,4.99526e-43
-10.01,6.09696e-43
-10,7.44015e-43
-9.99,9.07743e-43
-9.98,1.10728e-42
-9.97,1.3504e-42
-9.96,1.64658e-42
-9.95,2.00731e-42
-9.94,2.44657e-42
-9.93,2.98137e-42
-9.92,3.63233e-42
-9.91,4.42454e-42
-9.9,5.38844e-42
-9.89,6.56101e-42
-9.88,7.98715e-42
-9.87,9.72132e-42
-9.86,1.18296e-41
-9.85,1.43923e-41
-9.84,1.75066e-41
-9.83,2.12905e-41
-9.82,2.5887e-41
-9.81,3.14696e-41
-9.8,3.82485e-41
-9.79,4.64782e-41
-9.78,5.64672e-41
-9.77,6.85894e-41
-9.76,8.32971e-41
-9.75,1.01138e-40
-9.74,1.22776e-40
-9.73,1.49013e-40
-9.72,1.80821e-40
-9.71,2.19374e-40
-9.7,2.66093e-40
-9.69,3.22698e-40
-9.68,3.91264e-40
-9.67,4.74304e-40
-9.66,5.74853e-40
-9.65,6.96577e-40
-9.64,8.43907e-40
-9.63,1.02219e-39
-9.62,1.23789e-39
-9.61,1.49881e-39
-9.6,1.81435e-39
-9.59,2.19589e-39
-9.58,2.65712e-39
-9.57,3.21459e-39
-9.56,3.88823e-39
-9.55,4.70209e-39
-9.54,5.68516e-39
-9.53,6.87238e-39
-9.52,8.30585e-39
-9.51,1.00363e-38
-9.5,1.21249e-38
-9.49,1.46451e-38
-9.48,1.76856e-38
-9.47,2.13531e-38
-9.46,2.57759e-38
-9.45,3.11085e-38
-9.44,3.75368e-38
-9.43,4.52844e-38
-9.42,5.462e-38
-9.41,6.58671e-38
-9.4,7.94141e-38
-9.39,9.5728e-38
-9.38,1.1537e-37
-9.37,1.39015e-37
-9.36,1.67471e-37
-9.35,2.01712e-37
-9.34,2.42905e-37
-9.33,2.92452e-37
-9.32,3.52034e-37
-9.31,4.2367e-37
-9.3,5.0978e-37
-9.29,6.13269e-37
-9.28,7.37619e-37
-9.27,8.87004e-37
-9.26,1.06643e-36
-9.25,1.28189e-36
